epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.9516,2.00559,3.53437,1.97594,0.00185,0.33333,0.18881,0.16931,2.84651,4.21006,2.75089,0.00015719,0.00015719,0.00015719
2,28.6302,2.24656,3.65156,2.14423,0.00223,0.4596,0.25702,0.23111,2.66775,4.13532,2.54642,0.000263593,0.000263593,0.000263593
3,41.031,1.99285,3.18283,1.99414,0.00247,0.57071,0.3046,0.27523,2.68504,4.02925,2.58517,0.000302091,0.000302091,0.000302091
4,53.2502,2.15819,3.37866,2.03188,0.88083,0.3031,0.3046,0.2752,2.67387,4.00177,2.5494,0.000272682,0.000272682,0.000272682
5,65.4111,1.92377,2.98269,1.89626,1,0.28008,0.3325,0.29886,2.73529,3.81487,2.53334,0.000175367,0.000175367,0.000175367
